127.0.0.1 - - [12/May/2024:11:39:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:26 +0530] "GET /itemDem/ HTTP/1.1" 200 1946
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:27 +0530] "GET /itemDem/images/bu2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:27 +0530] "GET /itemDem/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:27 +0530] "GET /itemDem/images/bu3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:27 +0530] "GET /itemDem/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:27 +0530] "GET /itemDem/images/bu1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:27 +0530] "GET /itemDem/images/bc1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:27 +0530] "GET /itemDem/images/bu4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:27 +0530] "GET /itemDem/images/yt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:27 +0530] "GET /itemDem/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:27 +0530] "GET /itemDem/images/Twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:27 +0530] "GET /itemDem/images/insta.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/item.jsp HTTP/1.1" 200 18897
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/bottle.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/css/item.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/coca.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/spri.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/egg.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/milk.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/smak.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/koth.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/nood.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/haal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/oreng.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/sours.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/papa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/kopi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/haalpi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:32 +0530] "GET /itemDem/images/wi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:33 +0530] "GET /itemDem/images/kottu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:33 +0530] "GET /itemDem/images/sun.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:33 +0530] "GET /itemDem/images/bio.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:33 +0530] "GET /itemDem/images/liq.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:33 +0530] "GET /itemDem/images/har.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:33 +0530] "GET /itemDem/images/deto.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:33 +0530] "GET /itemDem/images/lif.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:33 +0530] "GET /itemDem/images/hand.jpg HTTP/1.1" 304 -
